Container, 0, 0, 0, 4.19993, 4.19993, 0
Container, 0, THREAD, 0, 4.19993, 4.19993, zero
State, 8589934592, STATE, 3.508964, 3.509340, 0.000376, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.509719, 3.510090, 0.000371, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.510442, 3.510825, 0.000383, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.512291, 3.555087, 0.042796, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.512793, 3.554918, 0.042125, 7.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, 8589934592, STATE, 3.513051, 3.513724, 0.000673, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.513905, 3.514441, 0.000536, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.514607, 3.515018, 0.000411, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.515185, 3.515679, 0.000494, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.515837, 3.516331, 0.000494, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.516489, 3.517028, 0.000539, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.517186, 3.517691, 0.000505, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
